  turn  8 faithfulness=0.0  (elapsed 28.3s)
  turn  9 faithfulness=0.0  (elapsed 33.7s)
  turn 10 faithfulness=0.0  (elapsed 31.1s)
  turn 11 faithfulness=0.6666666666666666  (elapsed 38.6s)
  turn 12 faithfulness=0.6666666666666666  (elapsed 32.6s)
  turn 13 faithfulness=0.0  (elapsed 33.4s)
  turn 14 faithfulness=0.0  (elapsed 32.3s)
  turn 15 faithfulness=0.0  (elapsed 38.5s)
  turn 16 faithfulness=0.0  (elapsed 33.6s)
  turn 17 faithfulness=0.0  (elapsed 30.1s)
  turn 18 faithfulness=0.0  (elapsed 33.7s)
  turn 19 faithfulness=0.0  (elapsed 38.5s)
  turn 20 faithfulness=0.3333333333333333  (elapsed 40.6s)
  turn 21 faithfulness=0.0  (elapsed 29.5s)
  turn 22 faithfulness=0.0  (elapsed 28.4s)

=== faithfulness by turn (mean across samples) ===
  turn 1: n=6  mean_faithfulness=0.000
  turn 2: n=6  mean_faithfulness=0.000
  turn 3: n=6  mean_faithfulness=0.000
  turn 4: n=6  mean_faithfulness=0.000
  turn 5: n=6  mean_faithfulness=0.000
  turn 6: n=6  mean_faithfulness=0.000
  turn 7: n=6  mean_faithfulness=0.000
  turn 8: n=6  mean_faithfulness=0.000
  turn 9: n=6  mean_faithfulness=0.000
  turn 10: n=6  mean_faithfulness=0.000
  turn 11: n=6  mean_faithfulness=0.111
  turn 12: n=6  mean_faithfulness=0.111
  turn 13: n=6  mean_faithfulness=0.000
  turn 14: n=6  mean_faithfulness=0.000
  turn 15: n=6  mean_faithfulness=0.000
  turn 16: n=6  mean_faithfulness=0.000
  turn 17: n=6  mean_faithfulness=0.000
  turn 18: n=6  mean_faithfulness=0.000
  turn 19: n=6  mean_faithfulness=0.000
  turn 20: n=6  mean_faithfulness=0.056
  turn 21: n=6  mean_faithfulness=0.000
  turn 22: n=6  mean_faithfulness=0.000
  turn 23: n=5  mean_faithfulness=0.000
  turn 24: n=5  mean_faithfulness=0.000
  turn 25: n=5  mean_faithfulness=0.000
  turn 26: n=4  mean_faithfulness=0.000
  turn 27: n=4  mean_faithfulness=0.000
  turn 28: n=4  mean_faithfulness=0.000
  turn 29: n=4  mean_faithfulness=0.000
  turn 30: n=4  mean_faithfulness=0.000
  turn 31: n=3  mean_faithfulness=0.000
  turn 32: n=3  mean_faithfulness=0.000
  turn 33: n=3  mean_faithfulness=0.000
  turn 34: n=3  mean_faithfulness=0.000
  turn 35: n=3  mean_faithfulness=0.000
  turn 36: n=2  mean_faithfulness=0.000
  turn 37: n=2  mean_faithfulness=0.000
  turn 38: n=2  mean_faithfulness=0.000
  turn 39: n=2  mean_faithfulness=0.000
  turn 40: n=2  mean_faithfulness=0.000
  turn 41: n=2  mean_faithfulness=0.000
  turn 42: n=2  mean_faithfulness=0.000
  turn 43: n=2  mean_faithfulness=0.000
  turn 44: n=2  mean_faithfulness=0.000
  turn 45: n=2  mean_faithfulness=0.000
  turn 46: n=1  mean_faithfulness=0.000
  turn 47: n=1  mean_faithfulness=0.000
  turn 48: n=1  mean_faithfulness=0.000
  turn 49: n=1  mean_faithfulness=0.000
  turn 50: n=1  mean_faithfulness=0.000
  turn 51: n=1  mean_faithfulness=0.000
  turn 52: n=1  mean_faithfulness=0.000
  turn 53: n=1  mean_faithfulness=0.000
  turn 54: n=1  mean_faithfulness=0.000
  turn 55: n=1  mean_faithfulness=0.000
  turn 56: n=1  mean_faithfulness=0.000
  turn 57: n=1  mean_faithfulness=0.000
  turn 58: n=1  mean_faithfulness=0.000
  turn 59: n=1  mean_faithfulness=0.000
  turn 60: n=1  mean_faithfulness=0.000
  turn 61: n=1  mean_faithfulness=0.000
  turn 62: n=1  mean_faithfulness=0.000
  turn 63: n=1  mean_faithfulness=0.000
  turn 64: n=1  mean_faithfulness=0.000
  turn 65: n=1  mean_faithfulness=0.000
  turn 66: n=1  mean_faithfulness=0.000
  turn 67: n=1  mean_faithfulness=0.000
  turn 68: n=1  mean_faithfulness=0.000
  turn 69: n=1  mean_faithfulness=0.000
  turn 70: n=1  mean_faithfulness=0.000
  turn 71: n=1  mean_faithfulness=0.000
  turn 72: n=1  mean_faithfulness=0.000
  turn 73: n=1  mean_faithfulness=0.000
  turn 74: n=1  mean_faithfulness=0.000
  turn 75: n=1  mean_faithfulness=0.000
  turn 76: n=1  mean_faithfulness=0.000
[Sun May 10 11:38:31 PM IST 2026] DONE
